ProductCode,Order date,Quantity,Unit price,Discount,Product group
1103,2024-02-12,255.0,30.5,0.0,RICE & NOODLES
1103,2024-02-13,15.0,27.7,0.0,RICE & NOODLES
1103,2024-02-14,20.0,26.5,0.0,RICE & NOODLES
1103,2024-02-16,16.0,26.95,0.0,RICE & NOODLES
1103,2024-02-23,60.0,26.95,0.0,RICE & NOODLES
1103,2024-02-26,100.0,26.95,0.0,RICE & NOODLES
1103,2024-02-28,10.0,29.0,0.0,RICE & NOODLES
1103,2024-02-29,5.0,27.0,0.0,RICE & NOODLES
1103,2024-03-01,50.0,26.5,0.0,RICE & NOODLES
1103,2024-03-04,10.0,26.95,0.0,RICE & NOODLES
1103,2024-03-07,60.0,30.5,0.0,RICE & NOODLES
1103,2024-03-08,43.0,29.5,0.0,RICE & NOODLES
1103,2024-03-11,30.0,27.5,0.0,RICE & NOODLES
1103,2024-03-20,20.0,26.5,0.0,RICE & NOODLES
1103,2024-03-22,50.0,26.0,0.0,RICE & NOODLES
1103,2024-03-25,5.0,28.5,0.0,RICE & NOODLES
1103,2024-03-26,50.0,26.5,0.0,RICE & NOODLES
1103,2024-03-28,1.0,29.95,0.0,RICE & NOODLES
1103,2024-04-02,120.0,30.5,11.63934426,RICE & NOODLES
1103,2024-04-03,17.0,30.5,11.47540984,RICE & NOODLES
1103,2024-04-04,50.0,30.5,14.75409836,RICE & NOODLES
1103,2024-04-05,10.0,26.95,0.0,RICE & NOODLES
1103,2024-04-08,49.0,30.5,13.1147541,RICE & NOODLES
1103,2024-04-10,20.0,30.5,0.0,RICE & NOODLES
1103,2024-04-11,30.0,30.5,11.63934426,RICE & NOODLES
1103,2024-04-16,170.0,26.5,0.0,RICE & NOODLES
1103,2024-04-17,20.0,30.5,0.0,RICE & NOODLES
1103,2024-04-18,5.0,30.5,8.19672131,RICE & NOODLES
1103,2024-04-19,50.0,30.5,14.75409836,RICE & NOODLES
1103,2024-04-22,21.0,30.5,0.0,RICE & NOODLES
1103,2024-04-23,60.0,30.5,11.63934426,RICE & NOODLES
1103,2024-04-24,55.0,30.5,14.75409836,RICE & NOODLES
1103,2024-04-26,50.0,30.5,14.75409836,RICE & NOODLES
1103,2024-04-30,50.0,30.5,11.63934426,RICE & NOODLES
1103,2024-05-07,50.0,30.5,11.63934426,RICE & NOODLES
1103,2024-05-08,88.0,30.5,13.1147541,RICE & NOODLES
1103,2024-06-03,100.0,26.95,0.0,RICE & NOODLES
1103,2024-06-14,10.0,30.5,13.1147541,RICE & NOODLES
1103,2024-06-20,10.0,30.5,9.83606557,RICE & NOODLES
1103,2024-06-24,50.0,30.5,11.63934426,RICE & NOODLES
1103,2024-06-27,30.0,30.5,11.63934426,RICE & NOODLES
1103,2024-07-01,80.0,30.5,0.0,RICE & NOODLES
1103,2024-07-02,30.0,30.5,11.63934426,RICE & NOODLES
1103,2024-07-04,10.0,30.5,9.83606557,RICE & NOODLES
1103,2024-07-08,20.0,30.5,9.83606557,RICE & NOODLES
1103,2024-07-09,80.0,30.5,11.63934426,RICE & NOODLES
1103,2024-07-10,30.0,26.95,0.0,RICE & NOODLES
1103,2024-07-11,320.0,30.5,0.0,RICE & NOODLES
1103,2024-07-16,10.0,30.5,0.81967213,RICE & NOODLES
1103,2024-07-23,20.0,31.5,14.44444444,RICE & NOODLES
1103,2024-07-29,5.0,31.5,9.11111111,RICE & NOODLES
1103,2024-07-30,50.0,26.5,0.0,RICE & NOODLES
1103,2024-08-01,20.0,31.5,12.6984127,RICE & NOODLES
1103,2024-08-05,100.0,27.95,0.0,RICE & NOODLES
1103,2024-08-07,5.0,31.5,12.6984127,RICE & NOODLES
1103,2024-08-08,30.0,31.5,15.87301587,RICE & NOODLES
1103,2024-08-09,15.0,31.5,11.26984127,RICE & NOODLES
1103,2024-08-13,5.0,31.5,12.6984127,RICE & NOODLES
1103,2024-08-14,10.0,31.5,15.87301587,RICE & NOODLES
1103,2024-08-15,200.0,31.5,19.04761905,RICE & NOODLES
1103,2024-08-16,50.0,27.95,0.0,RICE & NOODLES
1103,2024-08-19,4.0,31.5,12.6984127,RICE & NOODLES
1103,2024-08-20,20.0,31.5,0.0,RICE & NOODLES
1103,2024-08-22,20.0,31.5,12.6984127,RICE & NOODLES
1103,2024-08-23,10.0,31.5,12.85714286,RICE & NOODLES
1103,2024-08-26,40.0,31.5,14.44444444,RICE & NOODLES
1103,2024-08-27,55.0,31.5,14.44444444,RICE & NOODLES
1103,2024-09-03,10.0,31.5,3.17460317,RICE & NOODLES
1103,2024-09-04,15.0,31.5,12.6984127,RICE & NOODLES
1103,2024-09-05,60.0,31.5,6.34920635,RICE & NOODLES
1103,2024-09-06,6.0,31.5,9.52380952,RICE & NOODLES
1103,2024-09-10,50.0,31.5,17.46031746,RICE & NOODLES
1103,2024-09-12,100.0,31.5,12.6984127,RICE & NOODLES
1103,2024-09-16,40.0,31.5,14.44444444,RICE & NOODLES
1103,2024-09-17,10.0,31.5,6.34920635,RICE & NOODLES
1103,2024-09-18,100.0,31.5,11.26984127,RICE & NOODLES
1103,2024-09-19,10.0,32.5,15.38461538,RICE & NOODLES
1103,2024-09-20,50.0,31.5,15.87301587,RICE & NOODLES
1103,2024-09-23,50.0,32.5,20.0,RICE & NOODLES
1103,2024-09-24,125.0,32.5,17.07692308,RICE & NOODLES
1103,2024-10-01,30.0,32.5,16.95384615,RICE & NOODLES
1103,2024-10-03,20.0,32.5,12.30769231,RICE & NOODLES
1103,2024-10-08,20.0,32.5,0.0,RICE & NOODLES
1103,2024-10-09,120.0,32.5,14.0,RICE & NOODLES
1103,2024-10-17,40.0,32.5,15.38461538,RICE & NOODLES
1103,2024-10-30,80.0,32.5,16.95384615,RICE & NOODLES
1103,2024-10-31,40.0,32.5,14.0,RICE & NOODLES
1103,2024-11-04,80.0,32.5,12.30769231,RICE & NOODLES
1103,2024-11-05,148.0,32.5,14.0,RICE & NOODLES
1103,2024-11-06,20.0,32.5,12.30769231,RICE & NOODLES
1103,2024-11-07,1.0,32.5,0.0,RICE & NOODLES
1103,2024-11-11,40.0,32.5,12.30769231,RICE & NOODLES
1103,2024-11-13,50.0,32.5,18.46153846,RICE & NOODLES
1103,2024-11-14,3.0,32.5,0.0,RICE & NOODLES
1103,2024-11-15,45.0,32.5,12.30769231,RICE & NOODLES
1103,2024-11-18,20.0,32.5,0.0,RICE & NOODLES
1103,2024-11-19,100.0,32.5,16.95384615,RICE & NOODLES
1103,2024-11-20,3.0,32.5,14.0,RICE & NOODLES
1103,2024-11-22,50.0,32.5,14.0,RICE & NOODLES
1103,2024-11-26,100.0,27.95,0.0,RICE & NOODLES
1103,2024-11-28,50.0,26.5,0.0,RICE & NOODLES
1103,2024-12-04,40.0,32.5,12.30769231,RICE & NOODLES
1103,2024-12-05,3.0,32.5,0.0,RICE & NOODLES
1103,2024-12-09,23.0,32.5,0.0,RICE & NOODLES
1103,2024-12-10,100.0,32.5,12.30769231,RICE & NOODLES
1103,2024-12-12,1.0,32.5,12.30769231,RICE & NOODLES
1103,2024-12-13,25.0,32.5,12.30769231,RICE & NOODLES
1103,2024-12-16,51.0,32.5,12.30769231,RICE & NOODLES
1103,2024-12-20,20.0,32.5,12.30769231,RICE & NOODLES
1103,2024-12-27,50.0,32.5,12.30769231,RICE & NOODLES
1103,2024-12-30,15.0,32.5,12.30769231,RICE & NOODLES
1103,2025-01-03,20.0,32.5,9.23076923,RICE & NOODLES
1103,2025-01-06,35.0,32.5,12.30769231,RICE & NOODLES
1103,2025-01-08,50.0,32.5,18.46153846,RICE & NOODLES
1103,2025-01-10,65.0,32.5,15.38461538,RICE & NOODLES
1103,2025-01-13,192.0,32.5,6.15384615,RICE & NOODLES
1103,2025-01-14,25.0,32.5,12.30769231,RICE & NOODLES
1103,2025-01-15,50.0,32.5,11.53846154,RICE & NOODLES
1103,2025-01-17,2.0,32.5,6.15384615,RICE & NOODLES
1103,2025-01-20,100.0,32.5,12.30769231,RICE & NOODLES
1103,2025-01-21,90.0,32.5,0.0,RICE & NOODLES
1103,2025-02-18,10.0,32.5,12.30769231,RICE & NOODLES
1103,2025-02-19,20.0,32.5,13.84615385,RICE & NOODLES
1103,2025-02-24,80.0,32.5,12.30769231,RICE & NOODLES
1103,2025-02-25,130.0,32.5,12.30769231,RICE & NOODLES
1103,2025-03-03,10.0,32.5,12.30769231,RICE & NOODLES
1103,2025-03-05,20.0,32.5,12.30769231,RICE & NOODLES
1103,2025-03-07,50.0,32.5,10.92307692,RICE & NOODLES
1103,2025-03-10,200.0,32.5,18.46153846,RICE & NOODLES
1103,2025-03-12,25.0,32.5,12.30769231,RICE & NOODLES
1103,2025-03-14,50.0,32.5,18.46153846,RICE & NOODLES
1103,2025-03-19,10.0,32.5,12.30769231,RICE & NOODLES
1103,2025-03-24,50.0,32.5,12.30769231,RICE & NOODLES
1103,2025-03-25,40.0,32.5,14.0,RICE & NOODLES
